06/16/15 09:11:03:271 [3124] ERROR dhplay- frame check failed. frameID:650797, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:271 [3124] ERROR dhplay- frame check failed. frameID:650798, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:272 [3124] ERROR dhplay- frame check failed. frameID:650799, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:272 [3124] ERROR dhplay- frame check failed. frameID:650800, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:272 [3124] ERROR dhplay- frame check failed. frameID:650801, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:272 [3124] ERROR dhplay- frame check failed. frameID:650802, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:273 [3124] ERROR dhplay- frame check failed. frameID:650803, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:273 [3124] ERROR dhplay- frame check failed. frameID:650804, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:273 [3124] ERROR dhplay- frame check failed. frameID:650805, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:273 [3124] ERROR dhplay- frame check failed. frameID:650806, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:273 [3124] ERROR dhplay- frame check failed. frameID:650807, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:274 [3124] ERROR dhplay- frame check failed. frameID:650808, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:274 [3124] ERROR dhplay- frame check failed. frameID:650809, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:274 [3124] ERROR dhplay- frame check failed. frameID:650810, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:11:03:274 [3124] ERROR dhplay- frame check failed. frameID:650811, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:371 [6780] ERROR dhplay- frame check failed. frameID:650788, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:372 [6780] ERROR dhplay- frame check failed. frameID:650789, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:372 [6780] ERROR dhplay- frame check failed. frameID:650790, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:372 [6780] ERROR dhplay- frame check failed. frameID:650791, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:372 [6780] ERROR dhplay- frame check failed. frameID:650792, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:373 [6780] ERROR dhplay- frame check failed. frameID:650793, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:373 [6780] ERROR dhplay- frame check failed. frameID:650794, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:373 [6780] ERROR dhplay- frame check failed. frameID:650795, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:373 [6780] ERROR dhplay- frame check failed. frameID:650796, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:373 [6780] ERROR dhplay- frame check failed. frameID:650797, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:374 [6780] ERROR dhplay- frame check failed. frameID:650798, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:374 [6780] ERROR dhplay- frame check failed. frameID:650799, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:374 [6780] ERROR dhplay- frame check failed. frameID:650800, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:374 [6780] ERROR dhplay- frame check failed. frameID:650801, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:374 [6780] ERROR dhplay- frame check failed. frameID:650802, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:375 [6780] ERROR dhplay- frame check failed. frameID:650803, lastSeq:-1 [playgraph.cpp:2636][]
06/16/15 09:19:16:376 [6780] ERROR dhplay- frame check failed. frameID:650804, lastSeq:-1 [playgraph.cpp:2636][]
